,n_1,n_2
445,-48.772724,-53.134834
446,-48.832275,-53.111378
447,-48.91681,-53.079624
448,-48.87701,-53.09285
449,-48.95512,-53.068882
450,-48.985424,-53.05565
451,-49.014812,-53.044888
452,-39.167595,-62.82764
453,-39.182827,-62.828342
454,-39.174385,-62.82799
455,-39.20136,-62.82653
456,-39.191566,-62.828094
457,-39.21208,-62.82564
458,-39.25443,-62.824566
459,-39.27157,-62.823204
460,-39.238903,-62.824783
461,-39.22668,-62.824627
462,-39.156456,-62.82565
463,-39.16213,-62.827065
464,-39.15823,-62.826065
465,-41.882626,-63.065716
466,-41.89356,-63.06272
467,-41.90517,-63.05949
468,-41.916203,-63.05771
469,-41.929276,-63.055565
470,-41.94276,-63.05304
471,-41.958206,-63.05042
472,-41.97146,-63.048004
473,-41.98328,-63.04422
474,-42.00065,-63.040653
475,-42.014202,-63.03685
476,-42.027298,-63.03239
477,-42.043217,-63.02786
478,-42.055622,-63.02331
479,-42.075825,-63.019646
480,-17.197012,73.35383
481,-17.180368,73.31762
482,-17.21471,73.400055
483,-17.227625,73.44184
484,-17.236242,73.47399
485,-17.151356,73.26044
486,-17.126215,73.21128
487,-17.07934,73.12658
488,-17.031557,73.0403
489,-16.908619,72.80438
490,-16.968843,72.922455
491,-16.796717,72.58569
492,-16.855984,72.702774
493,-16.58492,72.16317
494,-16.602545,72.195366
495,-16.620306,72.225426
496,-16.636862,72.25504
497,-16.717285,72.41977
498,-16.754314,72.499084
499,-16.694456,72.37405
500,-16.658947,72.30032
501,-25.594143,-67.0456
502,-25.642864,-67.09129
503,-25.615297,-67.06492
504,-25.665516,-67.1143
505,-25.71445,-67.16625
506,-25.694836,-67.14486
507,-25.80549,-67.276
508,-25.773195,-67.23518
509,-25.832705,-67.31522
510,-25.74691,-67.202995
511,-25.854116,-67.34394
512,-25.893642,-67.40006
513,-25.874939,-67.37387
514,-25.90745,-67.421844
515,-25.92298,-67.44307
516,-25.937395,-67.45897
517,-61.87954,-3.4518704
518,-61.881565,-3.4622672
519,-61.883766,-3.4677067
520,-61.89846,-3.4673712
521,-61.890316,-3.467614
522,-61.905426,-3.460966
523,-61.91794,-3.4488897
524,-61.91316,-3.4530964
525,-49.818676,-43.61256
526,-49.830723,-43.609844
527,-49.788483,-43.623363
528,-49.80491,-43.617546
529,-49.750538,-43.63541
530,-49.77165,-43.628803
531,-49.72734,-43.644512
532,-49.706184,-43.65258
533,-49.68232,-43.659634
534,-49.66343,-43.6649
535,-49.550945,-43.697777
536,-49.530483,-43.70487
537,-49.57103,-43.690784
538,-49.594734,-43.683567
539,-49.63856,-43.671593
540,-49.619267,-43.677116
541,-61.5832,2.4839664
542,-11.10513,68.69323
543,-11.116383,68.64387
544,-11.123896,68.6059
545,-11.1351595,68.54556
546,-11.145449,68.486374
547,-11.17335,68.31124
548,-11.159742,68.40488
549,-11.200017,68.09416
550,-11.185641,68.21914
551,-11.2213545,67.87243
552,-11.211358,67.98585
553,-11.242049,67.65975
554,-11.228725,67.796814
555,-11.248771,67.571724
556,-11.253181,67.51303
557,-11.257773,67.45718
558,-11.261617,67.39557
559,-11.262221,67.36269
560,-11.26077,67.329605
561,-27.582874,-67.04892
562,-27.569653,-67.05926
563,-27.573423,-67.05595
564,-27.578411,-67.05414
565,-27.565382,-67.0594
566,-27.563654,-67.06084
567,-27.559895,-67.06174
568,-27.549734,-67.06168
569,-27.554789,-67.062515
570,-27.547817,-67.05614
571,-27.542423,-67.053085
572,-10.427902,73.721886
573,-10.511435,73.845825
574,-10.491534,73.817116
575,-10.462475,73.77416
576,-10.543925,73.891365
577,-10.532238,73.87554
578,-10.559659,73.91264
579,-10.583906,73.94521
580,-10.39347,73.668304
581,-10.305499,73.52274
582,-10.350051,73.598145
583,-10.262559,73.44712
584,-10.214566,73.35385
585,-10.168282,73.2574
586,-10.571236,73.92788
587,-10.022597,72.90195
588,-10.06753,73.022484
589,-10.115149,73.13755
590,-9.977381,72.77307
591,-9.920516,72.60313
592,-9.819996,72.29804
593,-9.861451,72.42675
594,-9.4394045,71.26094
595,-9.382164,71.12245
596,-9.553564,71.53884
597,-9.491408,71.384834
598,-9.617852,71.70762
599,-9.669347,71.8512
600,-9.727995,72.01913
601,-9.7673435,72.13618
602,-9.129175,70.53946
603,-9.142163,70.56537
604,-9.163146,70.61367
605,-9.180905,70.654785
606,-9.199905,70.69734
607,-9.266898,70.86003
608,-9.227621,70.759766
609,-9.337402,71.016266
610,-9.295606,70.920525
611,-37.05293,-26.948853
612,-37.028378,-26.941813
613,-37.101612,-26.967648
614,-37.071323,-26.952322
615,-37.127182,-26.975918
616,-37.14474,-26.980652
617,-37.161327,-26.988604
618,-37.18809,-26.997347
619,-37.20418,-26.997602
620,-37.220528,-27.006342
621,-36.94497,-26.932663
622,-36.915916,-26.930735
623,-37.00474,-26.937742
624,-36.973164,-26.934603
625,-49.79019,-19.311106
626,-49.791893,-19.311533
627,-49.795795,-19.311008
628,-49.80061,-19.312685
629,-49.798145,-19.319345
630,-49.791256,-19.317133
631,-49.80086,-19.328337
632,-49.805035,-19.337744
633,-49.810448,-19.350668
634,-49.809456,-19.347519
635,-49.808247,-19.341343
636,-21.91846,-21.900606
637,-21.840805,-21.935812
638,-22.03938,-21.839314
639,-21.975853,-21.871773
640,-21.796453,-21.949438
641,-4.9104104,70.21064
642,-4.8141894,70.23003
643,-4.7419906,70.24507
644,-4.6063786,70.27966
645,-4.381079,70.34049
646,-4.4430227,70.323364
647,-4.511611,70.30617
648,-4.2276096,70.37172
649,-4.2697196,70.36466
650,-4.3070436,70.35657
651,-5.1410995,70.17721
652,-5.203711,70.17028
653,-4.994914,70.196556
654,-5.0805097,70.18445
655,-5.266901,70.164604
656,-30.343355,-82.42625
657,-30.268503,-82.54121
658,-30.251204,-82.564186
659,-30.232452,-82.586784
660,-30.28414,-82.519554
661,-30.299704,-82.49261
662,-30.328005,-82.4467
663,-30.31461,-82.46506
664,-30.209002,-82.61527
665,-30.188929,-82.63748
666,-30.170258,-82.66004
667,-30.135426,-82.697876
668,-30.154268,-82.67853
669,-30.114529,-82.71623
670,-30.07861,-82.75125
671,-30.09652,-82.73299
672,-60.2784,-5.9091415
673,-60.28014,-5.9053283
674,-60.276855,-5.9089003
675,-60.272045,-5.9025264
676,-60.274963,-5.906228
677,-18.8566,72.41658
678,-18.8501,72.38321
679,-18.865301,72.45943
680,-18.876047,72.49546
681,-18.838171,72.33156
682,-18.824804,72.286766
683,-18.775764,72.12826
684,-18.801397,72.20916
685,-18.649797,71.78372
686,-18.59276,71.6552
687,-18.737253,72.012634
688,-18.693226,71.89209
689,-18.25485,71.06244
690,-18.236265,71.0311
691,-18.223917,70.99852
692,-18.349667,71.21723
693,-18.319746,71.16799
694,-18.393055,71.28916
695,-18.456299,71.396484
696,-18.491917,71.45967
697,-18.543522,71.55467
698,-52.32729,-44.04313
699,-52.337784,-44.0406
700,-52.346443,-44.03839
701,-52.299446,-44.053066
702,-52.309578,-44.049637
703,-52.318382,-44.04583
704,-52.187057,-44.0679
705,-52.16731,-44.070896
706,-52.148834,-44.07452
707,-52.203735,-44.06582
708,-52.23946,-44.062008
709,-52.222584,-44.063644
710,-52.25549,-44.06037
711,-52.27185,-44.058437
712,-52.28505,-44.056
713,-26.278816,-54.416267
714,-26.283316,-54.40923
715,-26.273506,-54.424458
716,-26.259338,-54.44651
717,-26.269014,-54.432053
718,-26.264296,-54.43878
719,-26.307577,-54.35746
720,-26.295519,-54.385468
721,-26.287457,-54.401955
722,-26.302557,-54.36842
723,-26.299765,-54.376198
724,-26.29197,-54.392834
725,-25.699446,-55.59844
726,-25.71115,-55.576912
727,-25.705313,-55.587788
728,-25.69256,-55.614075
729,-25.686071,-55.62763
730,-25.669662,-55.66276
731,-25.678167,-55.643963
732,-25.652988,-55.700455
733,-25.661884,-55.680744
734,-25.615976,-55.78173
735,-25.62426,-55.76226
736,-25.632322,-55.743088
737,-25.642984,-55.72163
738,-25.587482,-55.849148
739,-25.59636,-55.826622
740,-25.605618,-55.806007
741,-73.012764,-8.134576
742,-73.013016,-8.138959
743,-73.0165,-8.1464815
744,-73.01844,-8.15431
745,-20.289944,56.78253
746,-20.293251,56.783424
747,-20.284859,56.782055
748,-20.287598,56.783676
749,-20.307953,56.775368
750,-20.301294,56.7788
751,-20.28644,56.77774
752,-20.287968,56.77314
753,-20.287884,56.770473
754,-21.849934,-55.64684
755,-21.84976,-55.64619
756,-21.84938,-55.645916
757,-21.847286,-55.652664
758,-21.848312,-55.657078
759,-21.848879,-55.649384
760,-21.84957,-55.647774
761,-21.84884,-55.645657
762,-21.845472,-55.64571
763,-22.236082,-53.91412
764,-22.233843,-53.912125
765,-22.230354,-53.885548
766,-22.230988,-53.889675
767,-22.23133,-53.88053
768,-22.231619,-53.894485
769,-22.232529,-53.908436
770,-22.231304,-53.89855
771,-22.23126,-53.904003
772,-22.231974,-53.874523
773,-71.40319,-13.718437
774,-71.40177,-13.720147
775,-71.39412,-13.720417
776,-71.392,-13.721337
777,-71.39703,-13.7217245
778,-71.39104,-13.720338
779,-71.38823,-13.719419
780,-68.83217,-13.605632
781,-68.83479,-13.60276
782,-68.82934,-13.608211
783,-68.77434,-13.607797
784,-68.796005,-13.6098795
785,-68.78643,-13.60808
786,-68.810326,-13.612343
787,-68.80334,-13.611134
788,-68.818436,-13.611423
789,-68.82256,-13.609889
790,-1.3294841,-60.64692
791,-1.3325567,-60.647533
792,-1.3349996,-60.645058
793,-1.3373291,-60.6427
794,-1.3393228,-60.63986
795,-1.3349414,-60.64324
796,-1.3383818,-60.641758
797,-1.3403316,-60.64053
798,-1.3404306,-60.64009
799,-71.74317,-1.7250882
800,-71.75433,-1.712623
801,-71.76326,-1.7010391
802,-17.795374,68.87929
803,-17.764362,68.84655
804,-17.703176,68.80067
805,-17.729237,68.817825
806,-17.820736,68.906746
807,-17.566582,68.706215
808,-17.601067,68.72818
809,-17.641592,68.75564
810,-17.668861,68.77418
811,-17.470455,68.65115
812,-17.442194,68.63388
813,-17.527855,68.683975
814,-17.49516,68.66608
815,-17.400354,68.607124
816,-17.420532,68.62159
817,-27.629066,-68.9554
818,-27.634686,-68.963104
819,-27.624502,-68.94967
820,-27.637487,-68.96965
821,-27.638723,-68.980865
822,-27.63823,-68.9894
823,-27.62353,-68.94792
824,-27.615461,-68.948845
825,-27.607388,-68.954544
826,-27.583427,-68.97718
827,-27.574066,-68.98993
828,-27.596907,-68.96493
829,-19.411018,-22.395716
830,-19.417143,-22.413624
831,-19.421473,-22.433388
832,-19.402761,-22.379492
833,-32.67127,-37.516323
834,-32.66905,-37.523617
835,-32.66637,-37.53038
836,-32.66445,-37.53517
837,-32.677193,-37.488113
838,-32.6748,-37.498653
839,-32.672844,-37.508713
840,-32.65586,-37.572945
841,-32.662243,-37.541603
842,-32.660564,-37.546566
843,-32.65735,-37.553883
844,-32.654907,-37.561424
845,-33.1975,57.913845
846,-33.12317,57.92465
847,-33.031548,57.937275
848,-32.96381,57.94734
849,-33.27671,57.902134
850,-33.339462,57.892807
851,-33.435814,57.87651
852,-33.385387,57.88542
853,-32.617516,57.99118
854,-32.576057,57.99957
855,-32.540005,58.004475
856,-32.87837,57.958103
857,-32.815006,57.967
858,-32.734673,57.972958
859,-32.66626,57.98162
860,-33.468624,57.868763
861,-33.50098,57.860107
862,-33.52357,57.853565
863,-32.5086,58.00877
864,-32.483395,58.010933
865,-15.641295,-59.236397
866,-15.649557,-59.236427
867,-15.637854,-59.234562
868,-15.66273,-59.23374
869,-15.653174,-59.23718
870,-15.659394,-59.234367
871,-15.619569,-59.23133
872,-15.617761,-59.230537
873,-15.623669,-59.232456
874,-15.6336565,-59.23449
875,-15.627362,-59.233482
876,-29.604578,55.180782
877,-29.639778,55.114742
878,-29.624304,55.141006
879,-29.662798,55.06424
880,-29.74103,54.914417
881,-29.683502,55.025215
882,-29.712103,54.971386
883,-29.8627,54.65831
884,-29.878689,54.62207
885,-29.841318,54.70308
886,-29.819992,54.7491
887,-29.793837,54.80223
888,-29.766283,54.861286
889,-29.898275,54.586414
890,-29.91275,54.559216
891,-29.926353,54.53542
892,-72.10973,-13.892756
893,-72.1027,-13.894113
894,-72.11961,-13.89001
895,-72.089935,-13.902096
896,-72.09589,-13.896863
897,-72.09109,-13.899378
898,-72.15653,-13.88828
899,-72.17394,-13.893077
900,-72.13246,-13.888696
901,-72.14455,-13.887337
902,-46.12252,45.107426
903,-46.125244,45.098507
904,-46.121437,45.116787
905,-46.119576,45.12481
906,-46.118492,45.132103
907,-46.130577,45.080887
908,-46.131123,45.075245
909,-46.12855,45.086056
910,-46.127533,45.09058
911,-46.13406,45.06863
912,-46.13337,45.07078
913,-46.13745,45.063984
914,-46.140667,45.055927
915,-46.138706,45.058403
916,-44.180088,-55.361195
917,-44.19643,-55.360504
918,-44.199978,-55.361053
919,-44.20189,-55.360573
920,-44.194267,-55.35894
921,-44.190514,-55.35693
922,-44.18705,-55.35531
923,-44.18434,-55.35726
924,-44.203148,-55.36108
925,-44.204823,-55.35965
926,-41.353493,-55.673347
927,-41.36086,-55.671432
928,-41.340508,-55.67829
929,-41.33289,-55.68384
930,-41.346725,-55.674572
931,-41.325954,-55.68925
932,-41.309994,-55.703938
933,-41.31713,-55.698
934,-41.3035,-55.71408
935,-41.297424,-55.72164
936,-37.195923,-53.004025
937,-37.195347,-53.001595
938,-37.20003,-53.012577
939,-37.19588,-53.007107
940,-37.202023,-53.02082
941,-37.204098,-52.973896
942,-37.201263,-52.97981
943,-37.20695,-52.96901
944,-37.197067,-52.995975
945,-37.198925,-52.98678
946,-37.1973,-52.991722
947,-34.012314,-61.764565
948,-34.01669,-61.765076
949,-34.02968,-61.763325
950,-34.03352,-61.764572
951,-34.037148,-61.76594
952,-34.026207,-61.762886
953,-34.021137,-61.76271
954,-34.01755,-61.762177
955,-34.016533,-61.763496
956,-31.432154,-35.72774
957,-31.42937,-35.671024
958,-31.425934,-35.5982
959,-31.418623,-35.5379
960,-31.392029,-35.411556
961,-31.403778,-35.44954
962,-31.413124,-35.49342
963,-31.433842,-35.812325
964,-31.434006,-35.87903
965,-31.433466,-36.0655
966,-31.434351,-35.978985
967,-31.432602,-36.157913
968,-31.430336,-36.233505
969,-31.420038,-36.343685
970,-31.426819,-36.288334
971,-31.415194,-36.382442
972,-31.409584,-36.41519
973,-31.40268,-36.437828
974,-3.221802,85.48425
975,-3.1958566,85.44746
976,-3.113215,85.35901
977,-3.16258,85.40964
978,-3.0636528,85.310394
979,-2.993978,85.24024
980,-2.8308136,85.06487
981,-2.908779,85.15063
982,-2.7443357,84.9632
983,-2.6894631,84.895355
984,-2.4650261,84.56439
985,-2.4404194,84.51973
986,-2.4932756,84.61216
987,-2.533626,84.67796
988,-2.582929,84.750694
989,-2.6246872,84.809395
990,-33.302845,-35.310425
991,-33.291183,-35.25714
992,-33.275265,-35.191353
993,-33.26433,-35.135727
994,-33.24401,-35.055443
995,-33.254883,-35.094185
996,-33.237312,-35.02042
997,-33.321236,-35.39317
998,-33.337143,-35.45896
999,-33.380383,-35.65601
1000,-33.36096,-35.56349
1001,-33.400543,-35.763977
1002,-33.421448,-35.851265
1003,-33.45478,-35.977642
1004,-33.43818,-35.91526
1005,-33.46616,-36.020454
1006,-33.479645,-36.05577
1007,-33.489567,-36.07724
1008,-33.50659,-36.120483
1009,-17.442678,77.55682
1010,-17.444319,77.539345
1011,-17.448057,77.51252
1012,-17.465347,77.44349
1013,-17.455318,77.48315
1014,-17.472305,77.40466
1015,-17.48289,77.359276
1016,-17.50435,77.25955
